                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1537,                 2.5846,                 1.4511,                0.00306,                0.91667,                0.33418,                 0.1866,                0.99626,                 3.4684,                 1.4884,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.3214,                 2.5913,                 1.6522,                0.00306,                0.91667,                0.40538,                0.21785,                 1.0239,                 3.4683,                 1.5413,              9.901e-05,              9.901e-05,              9.901e-05
                      3,                 1.2608,                 2.4804,                 1.5812,                0.00333,                      1,                0.75381,                0.48106,                 1.0503,                 3.4489,                 1.5669,             0.00015683,             0.00015683,             0.00015683
                      4,                 1.0348,                 1.9011,                 1.3603,                0.00333,                      1,                0.81464,                0.52532,                 1.1496,                  3.411,                 1.5876,             0.00021347,             0.00021347,             0.00021347
                      5,                0.95172,                 1.5661,                 1.3367,                0.00333,                      1,                 0.8379,                0.57264,                 1.1734,                  3.279,                 1.8042,             0.00026891,             0.00026891,             0.00026891
                      6,                 1.0005,                 1.5045,                 1.3819,                0.00306,                0.91667,                0.74399,                 0.5197,                 1.1935,                 3.2814,                 1.8026,             0.00032317,             0.00032317,             0.00032317
                      7,                 1.0043,                 1.3598,                 1.4495,                0.01056,                      1,                0.78576,                 0.5048,                 1.1224,                 3.2899,                 1.6574,             0.00037624,             0.00037624,             0.00037624
                      8,                0.96559,                  1.349,                  1.274,                0.00333,                      1,                0.85866,                0.52016,                  1.181,                 3.2666,                 1.7478,             0.00042812,             0.00042812,             0.00042812
                      9,                 1.0021,                 1.4254,                 1.3627,                0.00333,                      1,                0.80787,                0.56157,                 1.1431,                 3.2842,                 1.7334,             0.00047882,             0.00047882,             0.00047882
                     10,                0.91922,                 1.1831,                 1.2587,                0.00333,                      1,                0.90675,                0.54608,                 1.2253,                 3.2274,                 1.8059,             0.00052832,             0.00052832,             0.00052832
                     11,                0.98273,                 1.3181,                 1.3446,                0.87635,                0.59141,                0.76272,                0.41501,                 1.5149,                 3.2329,                 2.0948,             0.00057664,             0.00057664,             0.00057664
                     12,                0.96133,                 1.2986,                 1.3302,                 0.7446,                 0.4874,                0.66912,                0.36982,                 1.6291,                 3.2285,                 2.1612,             0.00062377,             0.00062377,             0.00062377
                     13,                0.99911,                 1.2596,                 1.2917,                0.85702,                0.58333,                0.66434,                 0.2755,                 2.1454,                 3.4139,                 3.1849,             0.00066971,             0.00066971,             0.00066971
                     14,                 1.0567,                 1.3657,                 1.4478,                0.87085,                0.56399,                0.65258,                0.27987,                 1.9804,                  3.478,                 2.9344,             0.00071447,             0.00071447,             0.00071447
                     15,                0.82394,                 1.1528,                   1.19,                0.89621,                0.72157,                0.82034,                 0.3887,                 1.6327,                 2.9653,                 2.3074,             0.00075803,             0.00075803,             0.00075803
                     16,                 1.0673,                  1.302,                 1.3819,                0.85491,                0.83333,                0.94942,                0.46786,                  1.476,                 2.9237,                 2.1675,             0.00080041,             0.00080041,             0.00080041
                     17,                 1.0378,                 1.2159,                 1.2833,                 0.7734,                0.58333,                0.72884,                0.28792,                 1.7043,                 3.2006,                 2.3052,              0.0008416,              0.0008416,              0.0008416
                     18,                0.83866,                 1.1456,                 1.2719,                0.49514,                0.33333,                0.32395,                0.17434,                 2.1576,                 3.4596,                 2.7965,              0.0008816,              0.0008816,              0.0008816
                     19,                0.90451,                 1.1727,                 1.2798,                0.56711,                 0.3283,                0.36525,                0.22053,                 2.0746,                 3.4311,                 2.5255,             0.00092042,             0.00092042,             0.00092042
                     20,                0.84175,                 1.1168,                 1.2913,                0.77924,                   0.75,                 0.7967,                0.34308,                  1.947,                 3.1882,                 2.5148,             0.00095804,             0.00095804,             0.00095804
                     21,                 0.8616,                  1.211,                  1.273,                0.75518,                0.83333,                0.82732,                0.39724,                 1.8943,                 2.9103,                  2.561,             0.00099448,             0.00099448,             0.00099448
                     22,                  1.017,                  1.118,                 1.3262,                0.80288,                0.91667,                0.86398,                0.28756,                 1.8289,                 3.0292,                 2.7619,              0.0010297,              0.0010297,              0.0010297
                     23,                0.91765,                 1.1182,                 1.2862,                0.87201,                0.83333,                0.86548,                0.37533,                 1.8857,                 2.8516,                 3.1078,              0.0010638,              0.0010638,              0.0010638
